출발지,도착지,소요시간(분)
고쿄 히가시 교엔,도쿄도청 전망대,31.0
고쿄 히가시 교엔,에도도쿄건축정원,61.0
고쿄 히가시 교엔,센소지 가미나리몬,26.0
고쿄 히가시 교엔,도쿄 국립신미술관,17.0
고쿄 히가시 교엔,시부야 스카이,23.0
고쿄 히가시 교엔,야나카긴자,17.0
고쿄 히가시 교엔,리쿠기엔,27.0
고쿄 히가시 교엔,롯폰기 힐스,22.0
고쿄 히가시 교엔,레인보우 브리지,47.0
고쿄 히가시 교엔,나카미세도리,28.0
고쿄 히가시 교엔,간다 신사 (간다 묘진),15.0
고쿄 히가시 교엔,스미다 공원,27.0
고쿄 히가시 교엔,오다이바 해변공원,30.0
고쿄 히가시 교엔,모리 타워,25.0
고쿄 히가시 교엔,도쿄역,0.0
고쿄 히가시 교엔,도쿄돔,14.0
고쿄 히가시 교엔,도쿄 돔시티,14.0
고쿄 히가시 교엔,호피 거리,31.0
고쿄 히가시 교엔,아사쿠사 신사,31.0
고쿄 히가시 교엔,도쿄도 현대미술관,27.0
고쿄 히가시 교엔,긴자 식스,16.0
고쿄 히가시 교엔,도쿄 대학,16.0
고쿄 히가시 교엔,도쿄 빅사이트,39.0
고쿄 히가시 교엔,도쿄 국립 박물관,26.0
고쿄 히가시 교엔,조죠지,17.0
고쿄 히가시 교엔,시바 공원,14.0
고쿄 히가시 교엔,우에노 공원,11.0
고쿄 히가시 교엔,Shibuya Scramble Crossing,22.0
고쿄 히가시 교엔,신주쿠 교 엔,29.0
고쿄 히가시 교엔,도쿄 조이 폴리스,42.0
고쿄 히가시 교엔,킷데 마루노우치,0.0
고쿄 히가시 교엔,오모테산도 힐즈,21.0
고쿄 히가시 교엔,네즈 미술관,26.0
고쿄 히가시 교엔,아메요코 쇼핑가,15.0
고쿄 히가시 교엔,모리 미술관,27.0
고쿄 히가시 교엔,Tokyo Station Gallery,10.0
고쿄 히가시 교엔,Street Kart Tokyo Bay,43.0
고쿄 히가시 교엔,쓰키시마 몬자거리,24.0
고쿄 히가시 교엔,사쿠라 포토 스튜디오,30.0
고쿄 히가시 교엔,하네다국제공항,41.0
고쿄 히가시 교엔,도쿄 소라마치,29.0
고쿄 히가시 교엔,미쓰비시1호관미술관,0.0
고쿄 히가시 교엔,도쿄도 미술관,25.0
고쿄 히가시 교엔,다이마루 백화점 도쿄점,0.0
고쿄 히가시 교엔,미타카의 숲 지브리 미술관,48.0
고쿄 히가시 교엔,도쿄 국립 근대 미술관,0.0
고쿄 히가시 교엔,빅카메라 유라쿠초점,10.0
고쿄 히가시 교엔,네즈신사,16.0
고쿄 히가시 교엔,센가쿠 절,26.0
고쿄 히가시 교엔,쓰키지 수산시장,21.0
고쿄 히가시 교엔,스파 라쿠아,16.0
고쿄 히가시 교엔,도쿄 미드타운,21.0
고쿄 히가시 교엔,국립 서양 미술관,19.0
고쿄 히가시 교엔,도호 시네마즈 신주쿠,27.0
고쿄 히가시 교엔,신주쿠 골든 거리,25.0
고쿄 히가시 교엔,하마리큐 은사정원,27.0
고쿄 히가시 교엔,Shibuya Center-Street,22.0
고쿄 히가시 교엔,시나가와 수족관,44.0
고쿄 히가시 교엔,맥셀 아쿠아 파크 시나가와,26.0
고쿄 히가시 교엔,오다이바 자유의 여신상,41.0
고쿄 히가시 교엔,도쿄만 아쿠아라인 우미호타루,91.0
고쿄 히가시 교엔,구 이와사키 저택 정원,11.0
도쿄 디즈니씨,도쿄 타워,54.0
도쿄 디즈니씨,메이지 신궁,71.0
도쿄 디즈니씨,메이지 신궁 외원,57.0
도쿄 디즈니씨,도쿄 스카이트리,53.0
도쿄 디즈니씨,도쿄 디즈니랜드,5.0
도쿄 디즈니씨,센소지사,54.0
도쿄 디즈니씨,고쿄 히가시 교엔,45.0
도쿄 디즈니씨,도쿄도청 전망대,69.0
도쿄 디즈니씨,에도도쿄건축정원,96.0
도쿄 디즈니씨,센소지 가미나리몬,52.0
도쿄 디즈니씨,도쿄 국립신미술관,48.0
도쿄 디즈니씨,시부야 스카이,51.0
도쿄 디즈니씨,야나카긴자,58.0
도쿄 디즈니씨,리쿠기엔,63.0
도쿄 디즈니씨,롯폰기 힐스,50.0
도쿄 디즈니씨,레인보우 브리지,49.0
도쿄 디즈니씨,나카미세도리,53.0
도쿄 디즈니씨,간다 신사 (간다 묘진),50.0
도쿄 디즈니씨,스미다 공원,52.0
도쿄 디즈니씨,오다이바 해변공원,38.0
도쿄 디즈니씨,모리 타워,53.0
도쿄 디즈니씨,도쿄역,26.0
도쿄 디즈니씨,도쿄돔,50.0
도쿄 디즈니씨,도쿄 돔시티,48.0
도쿄 디즈니씨,호피 거리,58.0
